"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2018-01-15,19.9,0.56,-52,"S",-57.2,"E",43.6,23.7
2018-01-06,2.8,0.098,55.8,"N",-52.5,"E",26,21
2018-01-06,3.6,0.12,-39.5,"S",-12.8,"E",26,NA
2017-12-31,4.4,0.15,-63.5,"S",101.3,"W",64.5,NA
2017-12-29,11,0.33,14.6,"N",49.5,"W",38,NA
2017-12-28,11.4,0.34,NA,NA,NA,NA,NA,NA
2017-12-15,311.4,6.4,60.2,"N",-170,"E",20,31.4
2017-11-19,2.8,0.098,-24.2,"S",-135,"E",33.3,11.4
2017-10-26,55.8,1.4,-21.3,"S",-177.6,"E",42.5,NA
2017-10-23,2.4,0.086,28.8,"N",-44.6,"E",35.4,16.7
2017-10-15,3.3,0.11,-65.2,"S",-128.2,"E",24.1,15.9
2017-10-09,3,0.1,-18.3,"S",64.1,"W",NA,NA
2017-10-04,19.2,0.54,28.1,"N",-99.4,"E",37,14.6
2017-09-05,3.8,0.13,49.3,"N",116.9,"W",36,14.7
2017-07-31,5.8,0.19,24.7,"N",118.5,"W",NA,NA
2017-07-23,3.5,0.12,-6.6,"S",69.7,"W",38,17.2
2017-07-13,7.3,0.23,23.1,"N",-60.7,"E",35,13.7
2017-06-30,9.4,0.29,-34.3,"S",-134.5,"E",20,15.2
2017-06-23,18.4,0.52,57,"N",-143.7,"E",35.1,24.3
2017-06-20,63.6,1.6,-54.2,"S",-133,"E",33.3,13.6
2017-05-24,9,0.28,-9.1,"S",-101.8,"E",46,18.4
2017-05-22,3.5,0.12,-49.6,"S",157.6,"W",33,NA
2017-05-14,3.5,0.12,-26,"S",-32.4,"E",33,NA
2017-04-30,15,0.43,-25.7,"S",-56.2,"E",32.4,21.5
2017-03-11,126.3,2.9,28.3,"N",60.2,"W",28,NA
2017-03-09,40,1,40.5,"N",18,"W",23,36.5
2017-03-08,7.2,0.23,-26.1,"S",-174.9,"E",37,NA
2017-02-25,6.5,0.21,29.5,"N",-13.5,"E",25.4,12.2
2017-02-22,3.8,0.13,-50.7,"S",66,"W",NA,NA
2017-02-18,29.5,0.79,6.2,"N",-60.4,"E",38,24.2
2017-02-07,2,0.073,-27.4,"S",14.8,"W",54,NA
2017-02-06,6.6,0.21,10.4,"N",-131.6,"E",33.5,NA
2016-12-23,3.8,0.13,21.3,"N",-49.3,"E",42,29.7
2016-12-07,11.7,0.35,-34.5,"S",126.6,"W",NA,NA
2016-11-29,3.1,0.11,-30.6,"S",93.1,"W",NA,NA
2016-11-24,13.8,0.4,-15.2,"S",-80.3,"E",30.6,17.4
2016-11-03,7.6,0.24,-39.6,"S",16.3,"W",37,NA
2016-10-01,3.1,0.11,36.2,"N",-6.7,"E",27.8,14.2
2016-09-22,7.1,0.22,-51.8,"S",-178.5,"E",40,17.5
2016-09-14,7.6,0.24,-3.5,"S",-44.6,"E",54,18.3
2016-08-27,14.2,0.41,-56.9,"S",-162.2,"E",42,NA
2016-08-11,18.4,0.52,-43.7,"S",-53.8,"E",34.3,14.9
2016-08-05,12.1,0.36,46.4,"N",-171.6,"E",32.4,NA
2016-07-21,4.5,0.15,7.8,"N",1.6,"W",37,NA
2016-07-05,15.3,0.44,1,"N",-48.6,"E",38.2,25.1
2016-06-27,45.8,1.2,15.8,"N",11.9,"W",33.3,29.1
2016-06-05,33.1,0.87,-17.4,"S",-138.3,"E",28.7,14.5
2016-06-02,17.2,0.49,33.8,"N",110.9,"W",NA,NA
2016-05-29,6.9,0.22,10.2,"N",48.8,"W",32,NA
2016-05-20,2,0.073,-32.8,"S",-15.1,"E",30.6,20.8
2016-05-16,51.9,1.3,3.2,"N",-6.6,"E",41.7,12.2
2016-05-13,10.1,0.31,26.2,"N",122.3,"W",33,NA
2016-04-24,14.6,0.42,9.8,"N",42.8,"W",50,NA
2016-04-18,22.4,0.62,20.7,"N",14.5,"W",31.5,17.1
2016-04-12,2,0.073,38.3,"N",-162.2,"E",NA,NA
2016-04-10,65.5,1.6,22,"N",-149,"E",35.2,15.1
2016-03-16,3.2,0.11,-49.2,"S",6.3,"W",42,13.3
2016-03-03,5.8,0.19,-48,"S",-51,"E",31.8,11.7
2016-02-23,3.5,0.12,32.3,"N",-67.2,"E",44,17.9
2016-02-21,36.9,0.96,36.5,"N",37.2,"W",32,NA
2016-02-19,20.2,0.56,0.7,"N",11.6,"W",39.4,15.5
2016-02-06,685.3,13,-30.4,"S",25.5,"W",31,15.6
2016-01-27,5,0.16,-45.8,"S",-53.6,"E",37,11.5
2016-01-21,4.6,0.15,-10.8,"S",-0.7,"E",42.5,18.1
2015-12-30,2.2,0.079,33.8,"N",160.7,"W",39,NA
2015-12-21,8.3,0.26,5.9,"N",-143,"E",42.2,12.1
2015-12-08,19.7,0.55,-69.9,"S",-150.5,"E",38,NA
2015-11-13,10.2,0.31,16,"N",-124.3,"E",28,NA
2015-11-02,7.8,0.24,-41.4,"S",-33,"E",37,NA
2015-10-31,9.7,0.29,9,"N",138,"W",71,NA
2015-10-13,2.3,0.082,-8,"S",52.5,"W",38.9,12.9
2015-10-11,3,0.1,-55.4,"S",18.8,"W",NA,NA
2015-10-10,3.6,0.12,-51,"S",21.1,"W",51.8,11.8
2015-10-04,4.4,0.15,22,"N",171.6,"W",36.1,NA
2015-09-17,9.8,0.3,-43.1,"S",-94.9,"E",NA,NA
2015-09-14,7,0.22,5.8,"N",15.2,"W",NA,NA
2015-09-08,2,0.073,6.3,"N",-29.9,"E",44.4,16.1
2015-09-07,179.8,3.9,14.5,"N",-98.9,"E",29.3,21
2015-09-02,3.7,0.13,39.1,"N",-40.2,"E",39.8,24.1
2015-07-19,2.3,0.082,20.6,"N",87.6,"W",22,17.8
2015-07-12,2.2,0.079,31,"N",-159.6,"E",41,NA
2015-07-04,5.6,0.18,38.6,"N",-103.1,"E",46.3,49
2015-06-14,7.1,0.22,6.3,"N",-124.1,"E",32.4,31.9
2015-06-12,17.6,0.5,-1.3,"S",32.1,"W",43.5,NA
2015-06-10,38.4,1,-11.5,"S",161.9,"W",61.1,NA
2015-06-02,38,0.99,-6.4,"S",142.7,"W",NA,NA
2015-05-20,3.6,0.12,1,"N",-172.6,"E",32.4,NA
2015-05-18,4.3,0.14,32.4,"N",-139.1,"E",29,NA
2015-05-10,14.3,0.42,-46.3,"S",179.3,"W",29.6,12.2
2015-05-07,5.2,0.17,-21.5,"S",29.3,"W",37,17.3
2015-04-30,10.5,0.32,-48.7,"S",-139.1,"E",26.7,12.9
2015-04-21,8.8,0.27,37.7,"N",39.6,"W",37.4,21.3
2015-04-10,6.5,0.21,-42.8,"S",-8.2,"E",NA,NA
2015-04-08,17.3,0.49,-25.5,"S",-51.5,"E",36.3,19.2
2015-04-03,4.2,0.14,8.4,"N",157.9,"W",NA,NA
2015-03-30,6.4,0.2,-36.1,"S",5.5,"W",33.1,13.8
2015-03-18,12.1,0.36,-5.4,"S",-159.3,"E",50,NA
2015-03-11,7.2,0.23,8,"N",-119.1,"E",35.2,19.9
2015-03-08,2,0.073,-39.1,"S",118.6,"W",NA,NA
2015-03-04,5.5,0.18,-15.9,"S",-88.1,"E",39.8,18
2015-02-26,18.8,0.53,68,"N",149,"W",33.7,21.1
2015-02-25,5.8,0.19,12.4,"N",122.4,"W",42,NA
2015-02-17,3.3,0.11,-8,"S",11.2,"W",39,28.8
2015-01-09,2.2,0.079,-23.3,"S",49.2,"W",NA,NA
2015-01-09,13.9,0.41,2,"N",-28.8,"E",36,17.5
2015-01-07,13.6,0.4,45.7,"N",-26.9,"E",45.5,35.7
2015-01-02,2,0.073,-31.1,"S",-140,"E",38.1,18.1
2014-12-13,4.4,0.15,86.7,"N",162.1,"W",30.7,21.7
2014-12-12,3.3,0.11,33.5,"N",-144.9,"E",26.3,12
2014-12-09,7.8,0.24,76.6,"N",-96.3,"E",26.3,NA
2014-11-28,70,1.7,-45.8,"S",172.7,"W",26.1,13.4
2014-11-27,5.5,0.18,-18.8,"S",73.4,"W",38,NA
2014-11-26,11.8,0.35,-69.5,"S",179.7,"W",23.3,25.3
2014-11-26,10.5,0.32,-68.2,"S",24,"W",37,19.9
2014-11-04,15.6,0.45,43.1,"N",-115.8,"E",22.2,16
2014-10-21,3.4,0.12,22.2,"N",132.9,"W",NA,NA
2014-10-17,7.2,0.23,-4.6,"S",66.3,"W",39,NA
2014-10-14,2.9,0.1,-2,"S",-119.2,"E",27.2,16.9
2014-10-06,3.9,0.13,-43.7,"S",-85.7,"E",NA,NA
2014-09-09,2.8,0.098,3.2,"N",-137.2,"E",32.5,NA
2014-09-05,3.5,0.12,22.7,"N",150,"W",NA,NA
2014-08-29,2.6,0.092,-6.2,"S",49.9,"W",NA,NA
2014-08-28,3.4,0.12,3.2,"N",45.4,"W",NA,NA
2014-08-23,381.9,7.6,-61.7,"S",-132.6,"E",22.2,16.2
2014-07-29,7.3,0.23,-49.2,"S",172.2,"W",NA,NA
2014-07-29,5.3,0.17,-33.9,"S",115.9,"W",NA,NA
2014-06-28,24.5,0.67,18.9,"N",-141.2,"E",26.3,12.4
2014-06-26,6.1,0.2,-71.5,"S",-93.4,"E",28.5,11.2
2014-05-29,5.8,0.19,21.9,"N",131.1,"W",28.7,NA
2014-05-16,13.6,0.4,-39.4,"S",95.9,"W",30.8,18
2014-05-16,30.9,0.82,-44.2,"S",176.2,"W",44,16.5
2014-05-08,105,2.4,-36.9,"S",-87.3,"E",35.4,19
2014-03-29,3.9,0.13,-28.7,"S",-121.5,"E",30.7,16.3
2014-03-18,54,1.3,0,"N",111.8,"W",30.5,NA
2014-03-03,9.4,0.29,-29,"S",94.9,"W",NA,NA
2014-02-18,2.6,0.092,-32.8,"S",61.5,"W",NA,NA
2014-02-13,63,1.5,13.3,"N",110.7,"W",25,NA
2014-01-15,14,0.41,-18.5,"S",-141.8,"E",29.6,NA
2014-01-12,7.8,0.24,2.9,"N",-64.4,"E",37,16.2
2014-01-08,3.1,0.11,-1.3,"S",-147.6,"E",18.7,44.8
2013-12-23,14.7,0.43,39.5,"N",-2,"E",34.3,15.1
2013-12-08,6.4,0.2,32.8,"N",165.1,"W",23.5,11.8
2013-11-21,7.5,0.23,44.7,"N",-35.3,"E",59.3,12.4
2013-10-12,161,3.5,-19.1,"S",25,"W",22.2,12.8
2013-10-09,6,0.19,NA,NA,NA,NA,NA,NA
2013-09-24,16,0.46,-10.3,"S",164.7,"W",40.7,NA
2013-08-12,4.4,0.15,-34.4,"S",-118.2,"E",66.6,NA
2013-07-31,3.9,0.13,NA,NA,NA,NA,NA,NA
2013-07-31,6.9,0.22,-31.8,"S",-137.1,"E",29.1,17.8
2013-07-30,39,1,-50.2,"S",-90.2,"E",25.6,18.8
2013-07-27,12,0.36,0.3,"N",-156.2,"E",26.5,22.1
2013-07-26,2,0.073,21,"N",178.5,"W",37,NA
2013-07-18,2.2,0.079,NA,NA,NA,NA,NA,NA
2013-06-13,2.2,0.079,NA,NA,NA,NA,NA,NA
2013-06-01,3.4,0.12,-65.6,"S",-138.4,"E",28.9,NA
2013-05-14,2,0.073,-3,"S",-76.4,"E",NA,NA
2013-04-30,511,10,35.5,"N",30.7,"W",21.2,12.1
2013-04-21,106.6,2.5,-28.1,"S",64.6,"W",40.7,14.9
2013-03-12,2.9,0.1,-32.7,"S",-17.1,"E",26,NA
2013-02-20,3.2,0.1,-23,"S",38.8,"W",NA,13.6
2013-02-15,37500,440,54.8,"N",-61.1,"E",23.3,18.6
2013-02-07,6.5,0.21,-18.8,"S",158.6,"W",NA,NA
2013-01-25,340,6.9,60.3,"N",64.6,"W",NA,NA
2013-01-12,4.8,0.16,-15.1,"S",155.6,"W",36.1,NA
2012-12-30,19.8,0.55,17.3,"N",83.6,"W",NA,NA
2012-12-18,2.7,0.095,NA,NA,NA,NA,NA,NA
2012-11-20,2.5,0.089,2.5,"N",-29.6,"E",33.3,14.3
2012-11-20,12,0.36,-8,"S",86,"W",NA,NA
2012-10-25,3,0.1,NA,NA,NA,NA,NA,NA
2012-10-19,2.3,0.082,-75.4,"S",-49.6,"E",29.3,13.2
2012-10-09,21,0.58,51.2,"N",84.6,"W",27.8,13.5
2012-10-03,28,0.75,-41.5,"S",21.9,"W",NA,17
2012-10-02,47,1.2,-8.1,"S",111.9,"W",35,15.4
2012-09-28,3.8,0.13,-6.9,"S",-73.7,"E",NA,NA
2012-09-18,24.4,0.67,1.2,"N",52.2,"W",28.1,18.3
2012-09-11,5.2,0.17,-18.9,"S",-105.2,"E",NA,NA
2012-09-10,2.3,0.082,-69.8,"S",111.7,"W",23.8,16.9
2012-08-27,6.8,0.22,-18.3,"S",-64.2,"E",38.7,28.9
2012-08-26,24.9,0.68,11.8,"N",-117,"E",36,12.7
2012-08-13,3.3,0.11,NA,NA,NA,NA,NA,NA
2012-07-27,3.4,0.12,63.1,"N",-172.3,"E",27.2,NA
2012-07-25,13.3,0.39,36.4,"N",-41.5,"E",26.8,18.5
2012-06-05,2.4,0.086,NA,NA,NA,NA,NA,NA
2012-05-25,6,0.19,-41.8,"S",36.2,"W",NA,NA
2012-05-22,21.1,0.59,NA,NA,NA,NA,NA,NA
2012-05-15,13.2,0.39,-61.8,"S",135.5,"W",33.3,17.1
2012-05-04,22.9,0.63,76.7,"N",10.6,"W",NA,NA
2012-04-23,4.4,0.15,36.2,"N",-107.4,"E",25.2,NA
2012-04-21,14.3,0.42,-15.8,"S",174.8,"W",NA,NA
2012-04-19,3,0.1,5.5,"N",-16.8,"E",NA,NA
2012-04-02,3.2,0.11,28.1,"N",95.2,"W",NA,NA
2012-03-12,9.9,0.3,2.5,"N",-139.8,"E",25,11.8
2012-03-03,10.1,0.31,7.8,"N",-2.7,"E",20.4,NA
2012-03-01,2.2,0.079,46.9,"N",29.8,"W",NA,NA
2012-02-24,3.7,0.13,-22.7,"S",-30.8,"E",NA,NA
2012-02-17,15.4,0.44,-3.2,"S",39.9,"W",45.6,NA
2012-02-12,14,0.41,-31.7,"S",-54.9,"E",61,NA
2012-02-04,15,0.43,32.4,"N",-0.1,"E",34.2,12.2
2012-01-15,2.1,0.076,-64.1,"S",-109.9,"E",26.3,12.3
2012-01-11,8.5,0.26,32.2,"N",-88.5,"E",NA,NA
2011-12-19,13.5,0.4,-30.2,"S",-52.6,"E",36.1,NA
2011-12-14,5,0.16,-62.9,"S",-89.6,"E",32.4,NA
2011-12-11,2.9,0.1,NA,NA,NA,NA,NA,NA
2011-11-20,2.3,0.082,-27.9,"S",-116.3,"E",NA,NA
2011-10-12,3.6,0.12,-26.4,"S",78.4,"W",NA,NA
2011-09-13,6.7,0.21,-19.9,"S",13.8,"W",21.3,16.7
2011-08-31,2.7,0.095,18.6,"N",5.1,"W",NA,NA
2011-08-20,2.3,0.082,-27.2,"S",2.8,"W",NA,NA
2011-08-18,2.3,0.082,NA,NA,NA,NA,NA,NA
2011-08-11,3.5,0.12,NA,NA,NA,NA,NA,NA
2011-08-04,2.8,0.098,-40.7,"S",86.7,"W",63,NA
2011-07-27,4.4,0.15,-45.3,"S",-63.5,"E",29.6,NA
2011-07-07,3.3,0.11,NA,NA,NA,NA,NA,NA
2011-07-05,6.5,0.21,29.1,"N",-139.7,"E",40.7,NA
2011-07-04,2.9,0.1,-51.7,"S",-175,"E",NA,NA
2011-06-16,2.4,0.086,67.3,"N",21.4,"W",40.5,NA
2011-05-25,228,4.8,4.1,"N",-14,"E",59,11.6
2011-05-16,2,0.073,-1.2,"S",-92.8,"E",NA,NA
2011-04-27,22,0.61,1.4,"N",126.6,"W",28.7,NA
2011-04-27,2.4,0.086,NA,NA,NA,NA,NA,NA
2011-04-17,2.4,0.086,NA,NA,NA,NA,NA,NA
2011-04-06,14.8,0.43,71.1,"N",43.5,"W",22.2,12.7
2011-03-24,5.8,0.19,0.6,"N",127.5,"W",59,NA
2011-03-23,3.1,0.11,NA,NA,NA,NA,NA,NA
2011-03-23,2.2,0.079,-16.8,"S",85.6,"W",NA,NA
2011-03-01,3.7,0.13,53.5,"N",-103.9,"E",30.6,11.9
2011-02-21,3.9,0.13,26.3,"N",-43.7,"E",44.4,18
2011-02-12,2,0.073,7.8,"N",95.3,"W",NA,NA
2011-01-21,7.2,0.23,18.9,"N",44.6,"W",61,NA
2011-01-08,2.9,0.1,33.3,"N",125.8,"W",48,NA
2010-12-25,2000,33,38,"N",-158,"E",26,18.1
2010-12-14,3.9,0.13,-4.9,"S",-175.5,"E",24,NA
2010-12-09,6.3,0.2,-54.5,"S",169.7,"W",66,NA
2010-12-01,13.3,0.39,-72.5,"S",-144.9,"E",33.3,NA
2010-11-21,8.1,0.25,1.9,"N",-143.3,"E",50,NA
2010-11-19,3.3,0.11,-10.3,"S",-148.8,"E",30,NA
2010-11-10,6.8,0.22,74.5,"N",77.7,"W",NA,NA
2010-11-09,8.6,0.27,-56.3,"S",16.7,"W",37,NA
2010-11-09,2,0.073,-14,"S",160,"W",26,NA
2010-10-27,14.5,0.42,-14.1,"S",-67.7,"E",35.2,NA
2010-10-08,2,0.073,NA,NA,NA,NA,NA,NA
2010-09-24,5,0.16,-67.4,"S",50.6,"W",NA,NA
2010-09-18,6.7,0.21,7.4,"N",-36.7,"E",NA,NA
2010-09-08,6.5,0.21,-13.9,"S",65.5,"W",46.3,NA
